seed,nonce,scenario,baseline,profit_policy_v6,profit_policy_v8,profit_policy_v9,profit_policy_v10,profit_policy_v11,q_policy_v6,q_policy_v8,q_policy_v9,q_policy_v10,q_policy_v11,best,gain_over_v11,n_tied,error
123,63,DENSE,44997.09777027276,360775.1711595943,360775.1711595943,465345.5393998698,488777.2291892853,488777.2291892853,7.017743121889118,7.017743121889118,9.341678962636513,9.862416764628152,9.862416764628152,policy_v10,0.0,2,
123,64,CAPSTONE,55804.28620540388,771321.1545934442,771321.1545934442,771321.1545934442,771321.1545934442,771321.1545934442,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,72,MULTIDAY,3583.6915538157073,233908.64901857468,233908.64901857468,324501.0987318189,343173.5226431219,343173.5226431219,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,80,BASELINE,384.7976680671304,47510.6876894873,46392.931332677625,46392.931332677625,46392.931332677625,47230.67712303608,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,81,CONGESTED,11507.324581148641,73733.50029724246,74419.84784998355,74419.84784998355,74419.84784998355,74521.56922036257,5.407527637886006,5.4671720450495815,5.4671720450495815,5.4671720450495815,5.476011751416848,policy_v11,0.0,1,
123,68,DENSE,17934.154741726114,396635.5105001691,396635.5105001691,551616.1938610589,572650.3569850131,572650.3569850131,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,77,MULTIDAY,19245.861676045017,249186.5174503551,249186.5174503551,323132.69321816356,333208.1564444909,333208.1564444909,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,69,CAPSTONE,36340.46694982141,625778.1898266588,625778.1898266588,625778.1898266588,625778.1898266588,625778.1898266588,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,85,BASELINE,38010.813250911095,51108.36218374388,51476.71291296455,51476.71291296455,51476.71291296455,51944.59220034632,0.34457428853286287,0.35426497120201494,0.35426497120201494,0.35426497120201494,0.36657408135656416,policy_v11,0.0,1,
123,86,CONGESTED,6458.378180680415,72435.54544897587,71558.02329772594,71558.02329772594,71558.02329772594,72793.90000957665,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,82,MULTIDAY,8961.639879622018,287828.5372376341,287828.5372376341,324412.59192634426,296599.0321726096,296599.0321726096,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,73,DENSE,41216.44461343972,335477.3224404942,335477.3224404942,537055.0914942712,543562.1278383558,543562.1278383558,7.139404686156832,7.139404686156832,10.0,10.0,10.0,policy_v9,0.0,3,
123,90,BASELINE,34305.31753551111,53192.136865735665,52476.91253227934,52476.91253227934,52476.91253227934,52619.54732212303,0.5505507800685225,0.5297019908773101,0.5297019908773101,0.5297019908773101,0.5338597949755196,policy_v6,0.01669098509300293,1,
123,74,CAPSTONE,7492.377237933559,979216.455667419,979216.455667419,979216.455667419,979216.455667419,979216.455667419,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,91,CONGESTED,14959.192329959615,74622.95155154642,77205.0237215916,77205.0237215916,77205.0237215916,77663.99497118425,3.988434529189547,4.161042255122806,4.161042255122806,4.161042255122806,4.191723807939181,policy_v11,0.0,1,
123,78,DENSE,5520.557334129365,338325.2117514318,338325.2117514318,432468.9403215494,427083.46415857936,427083.46415857936,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,87,MULTIDAY,216.4718500838031,241177.2408753872,241177.2408753872,322947.68059263914,338569.06414571527,338569.06414571527,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,79,CAPSTONE,10276.088197146542,583111.4906291652,583111.4906291652,583111.4906291652,583111.4906291652,583111.4906291652,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,95,BASELINE,21347.7081652351,45761.00413909181,45807.08254293722,45807.08254293722,45807.08254293722,45877.467228235386,1.1436026660918261,1.1457611368506821,1.1457611368506821,1.1457611368506821,1.1490581973477658,policy_v11,0.0,1,
123,96,CONGESTED,1.5219019248281293e-09,74610.8318839571,82245.5673114185,82245.5673114185,82245.5673114185,81377.95057733676,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,83,DENSE,7459.785284545956,337407.1946898432,337407.1946898432,465383.79232715355,474747.82784188574,474747.82784188574,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,92,MULTIDAY,31775.613278801702,212583.89306675945,212583.89306675945,336099.1919087861,349099.10045644996,349099.10045644996,5.690158619311032,5.690158619311032,9.577268452704542,9.986384350270155,9.986384350270155,policy_v10,0.0,2,
987654,0,BASELINE,18470.30233528574,36108.39563350966,36474.22290528303,36474.22290528303,36474.22290528303,36820.46576291959,0.9549433992519487,0.9747496409210246,0.9747496409210246,0.9747496409210246,0.9934955635016395,policy_v11,0.0,1,
123,84,CAPSTONE,6383.780137500567,653433.3458233809,653433.3458233809,653433.3458233809,653433.3458233809,653433.3458233809,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
